,Author,Work,Genre,File Name,word_count,sentence_count,sentence_length,fraction_sentence_relative,relative_clause_length,alius,antequam,atque_consonant,conjunction,cum_clause,demonstrative,dum,gerundive,idem,interrogative,ipse,iste,o_interjection,personal,preposition,priusquam,quidam,quin,quominus,reflexive,si,superlative,ut
82,Julius Caesar,De Bello Civili,historiography,caesar_augustus.res_gestae_divi_augusti.txt,2613,109,23.972477064220183,0.5871559633027523,8.9,4,0,0,229,8,53,0,14,9,0,3,0,0,41,230,1,0,0,0,1,2,2,6
83,Julius Caesar,De Bello Civili,historiography,caesar.de_bello_civili.part.1.txt,10903,526,20.724334600760457,0.4638783269961977,6.556818181818182,23,0,5,938,18,389,8,87,65,6,46,0,0,175,891,2,2,4,2,168,51,35,103
84,Julius Caesar,De Bello Civili,historiography,caesar.de_bello_civili.part.2.txt,6398,314,20.356687898089174,0.4745222929936306,6.426470588235294,15,0,4,544,9,214,3,46,39,25,24,0,0,125,501,2,7,7,2,86,19,20,63
85,Julius Caesar,De Bello Gallico,historiography,caesar.de_bello_civili.part.3.txt,15059,632,23.803797468354432,0.5158227848101266,6.426724137931035,27,1,4,1365,61,591,3,134,94,3,55,0,0,195,1178,4,23,6,1,163,52,42,155
86,Julius Caesar,De Bello Gallico,historiography,caesar.de_bello_gallico.part.1.txt,8173,316,25.860759493670887,0.6139240506329114,7.087349397590361,12,0,3,625,22,385,5,56,51,9,48,0,0,182,646,1,2,7,2,173,63,41,74
87,Julius Caesar,De Bello Gallico,historiography,caesar.de_bello_gallico.part.2.txt,4157,139,29.906474820143885,0.6187050359712231,7.722222222222222,12,0,2,328,20,156,0,36,19,1,15,0,0,75,386,2,1,2,0,59,15,19,39
88,Julius Caesar,De Bello Gallico,historiography,caesar.de_bello_gallico.part.3.txt,3587,121,29.644628099173552,0.6611570247933884,7.069230769230769,10,0,1,305,18,135,1,43,20,0,9,0,0,52,269,1,1,3,0,44,13,9,26
89,Julius Caesar,De Bello Gallico,historiography,caesar.de_bello_gallico.part.4.txt,4581,163,28.0920245398773,0.6993865030674846,7.594736842105263,7,0,5,372,16,202,5,54,21,1,13,0,0,94,396,2,1,2,1,83,24,18,32
90,Julius Caesar,De Bello Gallico,historiography,caesar.de_bello_gallico.part.5.txt,7378,299,24.67558528428094,0.4983277591973244,6.907488986784141,12,0,3,583,23,312,4,74,32,5,26,0,0,120,656,2,5,3,0,101,37,26,63
91,Julius Caesar,De Bello Gallico,historiography,caesar.de_bello_gallico.part.6.txt,5470,239,22.87866108786611,0.5104602510460251,6.505434782608695,14,0,3,482,13,229,1,37,43,1,19,0,0,84,466,2,3,1,0,76,28,15,51
92,Julius Caesar,De Bello Gallico,historiography,caesar.de_bello_gallico.part.7.txt,11477,501,22.90818363273453,0.5508982035928144,7.00498753117207,22,0,2,827,32,394,10,117,90,10,59,1,0,161,898,4,4,7,1,130,61,26,97
