,Author,Work,Genre,File Name,word_count,sentence_count,sentence_length,fraction_sentence_relative,relative_clause_length,alius,antequam,atque_consonant,conjunction,cum_clause,demonstrative,dum,gerundive,idem,interrogative,ipse,iste,o_interjection,personal,preposition,priusquam,quidam,quin,quominus,reflexive,si,superlative,ut
82,Dracontius,Romulea 4,epic,dracontius.romulea.part.4.txt,356,21,16.952380952380953,0.2857142857142857,4.9,0,0,0,27,0,2,1,2,0,2,1,0,0,16,16,0,0,0,0,0,2,0,2
83,Dracontius,Romulea 5,epic,dracontius.romulea.part.5.txt,2156,133,16.210526315789473,0.3308270676691729,6.166666666666667,1,0,3,159,6,28,6,9,10,36,6,3,2,14,95,0,0,0,0,4,26,0,17
84,Dracontius,Romulea 6,epic,dracontius.romulea.part.6.txt,761,27,28.14814814814815,0.3333333333333333,5.363636363636363,0,0,1,59,0,13,2,2,0,1,1,0,0,12,29,0,0,0,0,0,1,0,3
85,Dracontius,Romulea 7,epic,dracontius.romulea.part.7.txt,1035,29,35.689655172413794,0.4482758620689655,6.416666666666667,0,0,1,91,4,12,1,1,1,1,4,2,0,12,41,0,0,0,0,2,6,0,7
86,Dracontius,Romulea 8,epic,dracontius.romulea.part.8.txt,4263,194,21.97422680412371,0.3608247422680412,5.650943396226415,0,0,0,301,4,33,15,9,3,22,17,1,0,58,165,0,0,0,0,5,26,1,16
87,Dracontius,Romulea 9,epic,dracontius.romulea.part.9.txt,1532,67,22.86567164179105,0.4029850746268656,5.114285714285714,0,0,0,149,1,21,4,3,1,15,3,1,0,20,73,0,0,0,0,4,25,0,6
88,Dracontius,Romulea 10,epic,dracontius.romulea.part.10.txt,3901,187,20.834224598930483,0.2727272727272727,6.397058823529412,0,0,2,281,8,40,7,17,5,17,11,1,2,61,131,0,0,0,0,8,17,1,20
89,Ennius,Annales,epic,ennius.annales.txt,3487,73,47.64383561643836,0.3835616438356164,22.96296296296296,1,0,3,287,1,45,4,13,10,4,4,1,12,100,130,2,0,0,0,29,16,4,9
90,Italicus,Ilias Latina,epic,italicus.ilias_latina.txt,6608,343,19.26530612244898,0.2623906705539358,8.038461538461538,8,0,5,744,10,115,13,14,9,23,16,2,7,84,302,0,0,3,0,32,19,10,23
91,Juvencus,Historia Evangelica 1,epic,juvencus.historia_evangelica.part.1.txt,4708,300,15.69,0.32,5.125,3,0,0,413,3,107,1,32,10,21,9,5,2,104,179,0,0,2,0,10,23,2,17
92,Juvencus,Historia Evangelica 2,epic,juvencus.historia_evangelica.part.2.txt,5121,343,14.93002915451895,0.2653061224489796,5.166666666666667,6,0,3,371,5,159,2,23,14,23,6,6,0,137,214,0,0,2,0,24,34,1,25
93,Juvencus,Historia Evangelica 3,epic,juvencus.historia_evangelica.part.3.txt,4727,291,16.243986254295532,0.2646048109965636,6.258064516129032,14,0,1,396,4,103,2,18,8,15,11,16,2,99,176,0,1,0,0,30,34,4,13
94,Juvencus,Historia Evangelica 4,epic,juvencus.historia_evangelica.part.4.txt,5006,292,17.143835616438356,0.2602739726027397,5.927835051546392,5,0,3,422,4,125,2,25,19,16,12,14,2,129,197,0,2,1,0,29,20,11,18
95,Lucan,Bellum Civile 1,epic,lucan.bellum_civile.part.1.txt,4375,232,18.85775862068965,0.2370689655172413,4.706666666666667,2,0,1,436,3,46,9,21,6,37,7,3,12,73,163,0,0,0,0,16,28,1,14
96,Lucan,Bellum Civile 2,epic,lucan.bellum_civile.part.2.txt,4643,269,17.260223048327138,0.2044609665427509,4.859375,9,0,0,425,10,80,16,18,9,27,17,2,9,76,189,0,0,1,0,23,25,1,23
97,Lucan,Bellum Civile 3,epic,lucan.bellum_civile.part.3.txt,4763,277,17.19494584837545,0.2129963898916967,4.666666666666667,4,0,0,446,3,57,10,11,7,7,5,3,2,40,167,0,0,0,1,14,32,4,26
98,Lucan,Bellum Civile 4,epic,lucan.bellum_civile.part.4.txt,5154,300,17.18,0.25,4.894117647058824,3,0,1,500,6,62,18,29,6,15,10,3,7,44,173,0,0,0,0,15,13,2,25
99,Lucan,Bellum Civile 5,epic,lucan.bellum_civile.part.5.txt,5181,324,15.99074074074074,0.2191358024691358,4.908045977011494,2,0,2,483,6,60,12,22,9,45,11,6,6,108,162,0,0,0,0,19,33,1,12
100,Lucan,Bellum Civile 6,epic,lucan.bellum_civile.part.6.txt,5165,270,19.12962962962963,0.2777777777777778,4.428571428571429,3,0,2,527,6,69,8,19,9,16,13,3,7,78,179,0,0,1,0,16,27,1,18
101,Lucan,Bellum Civile 7,epic,lucan.bellum_civile.part.7.txt,5590,336,16.633928571428573,0.2589285714285714,4.198347107438017,3,0,0,514,6,101,8,16,17,43,12,10,10,110,206,0,0,0,0,29,42,5,24
102,Lucan,Bellum Civile 8,epic,lucan.bellum_civile.part.8.txt,5619,344,16.334302325581394,0.2936046511627907,4.738095238095238,4,0,1,498,7,84,4,17,18,69,9,8,13,102,227,0,0,1,0,14,43,3,20
103,Lucan,Bellum Civile 9,epic,lucan.bellum_civile.part.9.txt,7079,409,17.30317848410758,0.2689486552567237,5.041095890410959,4,0,1,695,11,100,7,15,10,55,18,8,12,116,275,0,0,2,0,25,34,5,23
104,Lucan,Bellum Civile 10,epic,lucan.bellum_civile.part.10.txt,3506,192,18.260416666666668,0.265625,5.236111111111111,4,0,0,327,1,58,4,15,5,9,7,2,2,68,152,0,2,0,0,17,11,1,14
105,Lucretius,De Rerum Natura 1,epic,lucretius.de_rerum_natura.part.1.txt,7253,254,28.555118110236226,0.6456692913385826,7.238636363636363,29,0,9,827,12,113,12,33,30,22,24,0,0,124,427,1,11,9,2,54,83,7,48
106,Lucretius,De Rerum Natura 2,epic,lucretius.de_rerum_natura.part.2.txt,7634,254,30.055118110236226,0.6023622047244095,6.675105485232067,42,0,13,852,29,125,11,31,35,23,33,0,2,94,450,0,21,10,1,56,46,15,59
107,Lucretius,De Rerum Natura 3,epic,lucretius.de_rerum_natura.part.3.txt,7410,259,28.613899613899616,0.4942084942084942,7.415,25,1,15,952,22,145,12,25,18,29,40,0,2,152,422,1,9,14,1,71,68,4,70
108,Lucretius,De Rerum Natura 4,epic,lucretius.de_rerum_natura.part.4.txt,8637,338,25.55917159763313,0.5443786982248521,6.439597315436242,53,0,25,1002,31,202,19,20,46,22,51,0,0,103,503,1,7,5,0,43,54,6,98
109,Lucretius,De Rerum Natura 5,epic,lucretius.de_rerum_natura.part.5.txt,9514,353,26.95184135977337,0.4730878186968839,7.211764705882353,49,0,16,1186,22,150,18,33,34,44,33,0,1,93,483,0,6,1,2,51,45,8,79
110,Lucretius,De Rerum Natura 6,epic,lucretius.de_rerum_natura.part.6.txt,8521,343,24.84256559766764,0.4723032069970845,6.434108527131783,35,2,18,923,33,184,15,26,20,25,54,0,0,72,539,1,9,3,2,37,45,6,94
111,Manilius,Astronomicon 1,epic,manilius.astronomicon.part.1.txt,5874,225,26.07555555555556,0.4177777777777778,7.022222222222222,18,0,4,716,7,80,2,21,18,11,49,1,0,58,362,0,0,2,0,32,21,2,18
112,Manilius,Astronomicon 2,epic,manilius.astronomicon.part.2.txt,6275,258,24.348837209302324,0.4418604651162791,6.163522012578617,10,0,10,738,11,119,1,32,21,9,38,1,0,61,390,0,7,11,1,35,18,1,32
113,Manilius,Astronomicon 3,epic,manilius.astronomicon.part.3.txt,4475,185,24.2,0.4432432432432432,6.415254237288136,11,0,3,477,14,90,8,32,17,4,16,0,1,38,306,0,1,0,0,14,23,2,29
114,Manilius,Astronomicon 4,epic,manilius.astronomicon.part.4.txt,6100,279,21.878136200716845,0.2939068100358423,6.822429906542056,14,0,3,841,10,61,1,50,15,25,47,0,0,73,356,0,2,3,0,36,13,2,16
115,Manilius,Astronomicon 5,epic,manilius.astronomicon.part.5.txt,4696,198,23.737373737373737,0.3232323232323232,8.168831168831169,5,1,0,612,9,67,1,20,3,5,38,0,0,35,292,0,1,6,0,19,7,0,11
116,Ovid,Metamorphoses 1,epic,ovid.metamorphoses.part.1.txt,5084,282,18.02482269503546,0.2765957446808511,5.336842105263158,4,0,1,554,3,124,4,20,16,11,19,3,6,87,210,0,3,1,0,17,22,7,26
117,Ovid,Metamorphoses 2,epic,ovid.metamorphoses.part.2.txt,5713,320,17.84375,0.290625,5.54054054054054,0,0,0,706,7,111,16,19,18,25,15,4,5,95,228,0,2,0,0,21,27,12,38
118,Ovid,Metamorphoses 3,epic,ovid.metamorphoses.part.3.txt,4827,308,15.662337662337665,0.2694805194805195,5.364583333333333,10,0,0,567,7,128,14,17,13,30,25,5,6,90,179,0,0,0,0,14,27,7,17
119,Ovid,Metamorphoses 4,epic,ovid.metamorphoses.part.4.txt,5197,274,18.96715328467153,0.2737226277372263,5.840425531914893,2,0,0,610,7,130,16,14,15,17,10,5,7,87,235,0,0,0,0,21,18,16,32
